SUNCOR_WELLBORE_ID,FILE_NAME,FOLDER_SURFACE_NAME,MD,RECEIVED_DATE,STRUCTURE_RELEASE,WELLBORE_STATUS,WELLBORE_COMPLETION_STATUS,SAA_PATTERN,NGF_PATTERN,AMENDMENT_SUMMARY,TVD,PETREL_SURFACE_Y,PETREL_KB_ELEV,PETREL_GROUND_ELEV,IHS_KB_ELEV,WELLBORE_TYPE,ACTIVE_WELLBORE_FLAG,PRIOR_UWI,CURRENT_UWI_EFFECTIVE_DATE,LICENSE_ID,LICENSE_NUMBER,LICENSE_DATE,PETREL_SURFACE_X,WELL_PAIR,COMMON_WELLNAME,COMMON_WELLBORE_NAME,WELLVIEW_WELLNAME,PETREL_WELLNAME,CURRENT_UWI,TVDSS,X_COORDINATE,Y_COORDINATE,PROJECT,SURFACE_PAD,PATTERN
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),178.600006,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.532172,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.367828,443943.375000,6322933.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),302.809998,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,168.016211,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.883789,444007.062500,6323033.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),218.166672,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.682745,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.217255,443965.406250,6322962.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),252.210007,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.816168,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.083832,443983.375000,6322989.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),187.460007,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.551917,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.348083,443948.312500,6322939.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),193.686661,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.578406,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.321594,443951.781250,6322944.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),293.695007,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.992926,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.907074,444002.812500,6323025.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),316.250000,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,168.057623,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.842377,444013.687500,6323044.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),655.900024,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.694189,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.205811,444069.812500,6323370.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),564.119995,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.090582,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.809418,444071.093750,6323278.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),545.703308,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.153479,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.746521,444071.406250,6323260.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),619.109985,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.873114,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.026886,444070.125000,6323333.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),598.494995,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.446173,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.453827,444070.625000,6323313.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),605.309998,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.587439,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.312561,444070.468750,6323319.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),504.000000,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.416205,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.483795,444072.281250,6323218.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),473.640015,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.674170,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.225830,444071.562500,6323188.000000,Mackay River,Pad 751,Pad 751 North
