Date,DEPT,value,type,OG
2005-01-01 0:00,120,12.40001488,TEMP,
2006-01-01 0:00,120,28.8000145,TEMP,
2007-01-01 0:00,120,3.300014973,TEMP,
2008-01-01 0:00,120,5.700015068,TEMP,
2009-01-01 0:00,120,5.700015068,TEMP,
2010-01-01 0:00,120,5.700015068,TEMP,
2011-01-01 0:00,120,-3.799984932,TEMP,
2012-01-01 0:00,120,11.82500076,TEMP,
2013-01-01 0:00,120,10.73500061,TEMP,
2014-01-01 0:00,120,12.03499985,TEMP,
2015-01-01 0:00,120,10.83500004,TEMP,
2016-01-01 0:00,120,11.46000004,TEMP,
2017-01-01 0:00,120,11.71000004,TEMP,
2018-01-01 0:00,120,11.74500084,TEMP,
2019-01-01 0:00,120,11.69499969,TEMP,
2020-01-01 0:00,120,11.57999992,TEMP,
2021-01-01 0:00,120,0,TEMP,
2022-01-01 0:00,120,88.625,TEMP,
2023-01-01 0:00,120,0,TEMP,
2003-01-01 0:00,140,2.00001502,TEMP,
2004-01-01 0:00,140,4.800014973,TEMP,
2005-01-01 0:00,140,14.20001507,TEMP,
2006-01-01 0:00,140,24.60001564,TEMP,
2007-01-01 0:00,140,5.900014877,TEMP,
2008-01-01 0:00,140,7.000014782,TEMP,
2009-01-01 0:00,140,7.000014782,TEMP,
2010-01-01 0:00,140,7.700015068,TEMP,
2011-01-01 0:00,140,11.20001984,TEMP,
2012-01-01 0:00,140,11.50500011,TEMP,
2013-01-01 0:00,140,10.625,TEMP,
2014-01-01 0:00,140,11.38000011,TEMP,
2015-01-01 0:00,140,10.46000004,TEMP,
2016-01-01 0:00,140,10.85000038,TEMP,
2017-01-01 0:00,140,11.40999985,TEMP,
2018-01-01 0:00,140,11.86999989,TEMP,
2019-01-01 0:00,140,11.47999954,TEMP,
2020-01-01 0:00,140,11.41499996,TEMP,
2021-01-01 0:00,140,0,TEMP,
2022-01-01 0:00,140,87.19999695,TEMP,
2023-01-01 0:00,140,0,TEMP,
2003-01-01 0:00,160,1.50001502,TEMP,
2004-01-01 0:00,160,4.800014973,TEMP,
2005-01-01 0:00,160,12.70001507,TEMP,
2006-01-01 0:00,160,28.20001602,TEMP,
2007-01-01 0:00,160,6.400014877,TEMP,
2008-01-01 0:00,160,7.300014973,TEMP,
2009-01-01 0:00,160,7.300014973,TEMP,
2010-01-01 0:00,160,7.700015068,TEMP,
2011-01-01 0:00,160,-6.499985218,TEMP,
2012-01-01 0:00,160,10.98500061,TEMP,
2013-01-01 0:00,160,10.97500038,TEMP,
2014-01-01 0:00,160,10.88500023,TEMP,
2015-01-01 0:00,160,10.80999947,TEMP,
2016-01-01 0:00,160,10.78999996,TEMP,
2017-01-01 0:00,160,11.27499962,TEMP,
2018-01-01 0:00,160,11.59499931,TEMP,
2019-01-01 0:00,160,11.74499989,TEMP,
2020-01-01 0:00,160,11.50500011,TEMP,
2021-01-01 0:00,160,0,TEMP,
2022-01-01 0:00,160,85.97499847,TEMP,
2023-01-01 0:00,160,0,TEMP,
2003-01-01 0:00,180,2.400015116,TEMP,
2004-01-01 0:00,180,4.900014877,TEMP,
2005-01-01 0:00,180,10.20001507,TEMP,
2006-01-01 0:00,180,27.8000145,TEMP,
2007-01-01 0:00,180,5.900014877,TEMP,
2008-01-01 0:00,180,7.100015163,TEMP,
2009-01-01 0:00,180,7.100015163,TEMP,
2010-01-01 0:00,180,7.300014973,TEMP,
2011-01-01 0:00,180,11.20001984,TEMP,
2012-01-01 0:00,180,11.18499947,TEMP,
2013-01-01 0:00,180,10.27000046,TEMP,
2014-01-01 0:00,180,10.93000031,TEMP,
2015-01-01 0:00,180,11.10000038,TEMP,
2016-01-01 0:00,180,10.85000038,TEMP,
2017-01-01 0:00,180,11.30500031,TEMP,
2018-01-01 0:00,180,11.61499977,TEMP,
2019-01-01 0:00,180,11.17499924,TEMP,
2020-01-01 0:00,180,11.22500038,TEMP,
2021-01-01 0:00,180,0,TEMP,
2022-01-01 0:00,180,87.21000671,TEMP,
2023-01-01 0:00,180,0,TEMP,
2003-01-01 0:00,200,2.900015116,TEMP,
2004-01-01 0:00,200,5.000014782,TEMP,
2005-01-01 0:00,200,10.10001469,TEMP,
2006-01-01 0:00,200,29.40001488,TEMP,
2007-01-01 0:00,200,5.300014973,TEMP,
2008-01-01 0:00,200,6.700015068,TEMP,
2009-01-01 0:00,200,6.700015068,TEMP,
2010-01-01 0:00,200,6.900014877,TEMP,
2011-01-01 0:00,200,-6.899984837,TEMP,
2012-01-01 0:00,200,10.89500046,TEMP,
2013-01-01 0:00,200,10.75500011,TEMP,
2014-01-01 0:00,200,10.57999992,TEMP,
2015-01-01 0:00,200,10.95000076,TEMP,
2016-01-01 0:00,200,10.63500023,TEMP,
2017-01-01 0:00,200,11.47500038,TEMP,
2018-01-01 0:00,200,11.59500027,TEMP,
2019-01-01 0:00,200,11.45999908,TEMP,
2020-01-01 0:00,200,11.30000019,TEMP,
2021-01-01 0:00,200,0,TEMP,
2022-01-01 0:00,200,83.75,TEMP,
2023-01-01 0:00,200,0,TEMP,
2003-01-01 0:00,220,2.900015116,TEMP,
2004-01-01 0:00,220,5.600015163,TEMP,
2005-01-01 0:00,220,11.80001545,TEMP,
2006-01-01 0:00,220,28.60001564,TEMP,
2007-01-01 0:00,220,4.900014877,TEMP,
2008-01-01 0:00,220,6.200015068,TEMP,
2009-01-01 0:00,220,6.200015068,TEMP,
2010-01-01 0:00,220,6.600015163,TEMP,
2011-01-01 0:00,220,11.10000992,TEMP,
2012-01-01 0:00,220,10.875,TEMP,
2013-01-01 0:00,220,10.57499981,TEMP,
2014-01-01 0:00,220,10.65999985,TEMP,
2015-01-01 0:00,220,11.09000015,TEMP,
2016-01-01 0:00,220,11.17500019,TEMP,
2017-01-01 0:00,220,11.42500019,TEMP,
2018-01-01 0:00,220,11.44499969,TEMP,
2019-01-01 0:00,220,11.34000015,TEMP,
2020-01-01 0:00,220,11.54500008,TEMP,
2021-01-01 0:00,220,0,TEMP,
2022-01-01 0:00,220,88.91999817,TEMP,
2023-01-01 0:00,220,0,TEMP,
2003-01-01 0:00,240,2.300014973,TEMP,
2004-01-01 0:00,240,5.600015163,TEMP,
